text,opinion
will be at the London #Microsoft Partner Business Briefing tomorrow - see some of you there :),0
Wow!RT @fmlopez48 #Microsoft trabaja en tecnología con la que cualquier superficie podrá ser usada como pantalla táctil http://t.co/1qbeGAI5,3
Etre influent sur #Twitter: publication de contenus qui engagent à l'action. http://t.co/H2qmDwpP EN via @jeffbullas,2
Great Mission :: Ice Cream Sandwich #Google mission was to build a mobile OS that works on both phones and tablets,2
Had issues with #Siri reaching network today. Too many uses or my signal? @apple,1
as indiretaa ta solta hoje nesse #twitter UAHSUAHSUASA' E SO PRA ELA S2,3
Bummer! My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running.,1
@siobhancoda is your anti virus isn't just a 90 day trial could leave you exposed in the near future #free #microsoft #antivirus #software,2
RT @EA_Jorge: I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsof ...,1
- #twitter please forgive my last slew of tweets I'm having a rough night but I pray you'll forgive me .#tosleepigo,3
@Paatty_cl #EsNaco Componerle una cacion a Mf y presumir de ella en #Twitter,3
My mentions aren't showing properly ... PAY ATTENTION #TWITTER,1
Wenn #Microsoft eine touchfähige #Office Suite für iOS rausbringen würde wäre ich sehr entzückt!,3
@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.,0
#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google,2
Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local,0
Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 19,2
its ok to put up bible verses & encouraging post about God on #Twitter but make sure you stand by your words cause your an example.,2
Wow jus made a #TWITTER i reallly dnt kno how o2 use it so i neea alittle help,3
Puta pero da Wueba dormirse....Bueno mejor sigo en #Twitter..jejeje :),3
Ho come l'impressione che la recente evoluzione di #facebook abbia creato un ulteriore solco con #google+ ...la vittoria finale??,3
Stay hungry stay foolish. Steve Jobs founder @Apple #WinningWithEL,1
why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple,1
RT @SawyerHartman: I FU*KING LOVE YOU @APPLE this phone is the best thing ever !! SIRI = BEST THING EVER MADE,0
RT @DJTREBEL1: #fail i guess @apple didnt notify these clowns that the iPhone5 isnst out yet.... http://t.co/2yCDNt1B,1
More Twitter buzz for Apple Store: http://t.co/hLybd7uc - RT @ji_lee started out as a trip to the @apple store. turned into a spontaneou...,0
@apple so iMac or MacBook pro?,2
@Apple's Steve Jobs Gets His Day | PCWorld http://t.co/6gT6w2Od,2
Let's be honest #twitter nothing's #trending en #español.,3
แช๊ะ ภาพคู่ @Apple :) http://t.co/MMvtnUPg,3
este hueon no cacha que hay mouses que funcionan sobre cualquier superficie #microsoft @clubdelacomedia,3
Handling Multi-touch and Mouse Input in All Browsers http://t.co/duK6ze2G #microsoft #ie,2
@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.,1
iSteps @apple store bologna http://t.co/WjjBq7Ae,3
I hate #twitter right now..,1
قال الرئيس التنفيذي لشركة #Microsoft ستيف بالمر اليوم في مؤتمر Web 2.0 ان اجهزة الأندرويد اجهزه ممله واضاف #Android_ar #Tech_ar,3
Is it bad if I just want it because its called the #icecreamsandwich ?http://t.co/Wt3C2rP1 #android #sansung #google,2
Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn,2
Google+ to Support Pseudonyms http://t.co/ms1eBXpx #google+ #googlesocialmedia #googleventures #facebook #twitter #socialmediamarketing,2
Save ink by printing certain areas of your doc. Highlight the text click Print under Page Range tick ‘Selection’. #microsoft #word #office,2
no tempo qe eu usava #twitter era bem melhor fazia muitas amizades hoje em dia #twitter serve apenas para falar bobeiras :s,3
…and only the first 23 images in my Photo Roll made it over? Seriously @apple how did you fuck this up so much?,1
Great up close & personal event @Apple tonight in Regent St store!,0
@CarlosTolosa10 jajaja buscalo en #google y ve como esta jajaja,3
Endlich kommt mein lang ersehntes Feature aus SciFi Filmen - #Microsoft #OmniTouch macht aus allem einen Touchscreen: http://t.co/4m2lrVUz,3
.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,0
RT @JOMANERH: My #twitter age is 234 days 13 hours 41 minutes 16 seconds. Find out yours at http://t.co/MT0VAJwd #twittertime,2
#Google unveils what's new in #Android 4 'Ice Cream Sandwich' http://t.co/uOLAYieA,2
@ScottShipman1 Glad to hear! Hey @Mckellip thank you for the #Microsoft #Lync video participation #onthebigscreen :) @CoreBTS #CoreAppTech,0
#Digital : Google en Twitter komen niet tot een overeenkomst voor realtime-zoekdiensten - ... #de #google #en http://t.co/cFmZOejW,3
One would think the voice recognition on the @apple tech support line would work a little better.,1
Né @Apple vai trabalhar no iPhone5,3
Waa ya tienes #twitter @luchiie24 wuahahahaha,3
Google encrypts searches: http://t.co/q8inLdFy #Google,2
Hitting the sack early. G-night #twitter,2
@APPLE Wow @MOTOROLA Just crushed your dreams....,1
Auch Google gefällt das Panda 2.5 Update nicht – Analyse eines Rollbacks « Searchmetrics SEO Blog http://t.co/2LvpBK0J #google #panda #seo,3
RT @EurekaStartups Un teclado táctil sobre cualquier superficie &gt; http://t.co/EakkXn0O #Microsoft #Tecnología,3
#itasum11 - Gadgeteer http://t.co/ecWX3Ajl - The New Way to make inspire and stimulate learning #edugeek #kinext #microsoft,0
@apple @iphone sold more because its in more retail duhhhh. Also woz is correct people dont want tech answer just simple child like ones ok!,2
@davidcohen Sounds like 2nd day strategy isn't working. We got ours yesterday - in and out in no time. @Apple staff awesome/efficient!,0
Damn it @Apple!! Whatchu done to my phone??,1
Ok so my #EX girlfriend hacked my #TWITTER this should be funny,2
""Straight Outta Hak Mob"" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only bee… (cont) http://t.co/qDM3X8BB,3
Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE Y RESTRICTIONS ON MY SMS? Y NO TEXTS.... #iOS5 #iOS5atemydingo,1
High Tech Director of Business Development *selling consulting services* #Oracle #Microsoft #SAP #SanFrancisco #jobs http://t.co/OWf25yJB,2
RT @WindowsFrance: Avec OmniTouch faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch,2
Boy could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? ""You must authorize this computer…"",1
@ViviStephiee buscalo en #google..persona qe se comen a los conejos D:,3
Surfactants pdf ebook: http://t.co/JlzvsR9f #google,3
@csg122 http://t.co/TBxLrvin Hopefully you check twitter often enough to find this article. :D #google #ICS,0
I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple,1
Do the Creep #ahh @JokeAholic_P and @AmiraAldewick #google+dates,3
I think @SchwastySmack needs to cool her roll on her #twitter game.,1
RT @twandroid: Panoramas sur ICS ! #google #nexusprime,0
