text,opinion
Thanks Android for admitting you're ugly. New font is a good start! #ics #google,1
Watching podcast of Steve Jobs & Bill Gates at 07 D5. Gates sucks at tech predictions! All talk #Apple #Microsoft,1
Is #Nokia chief executive a #Microsoft mole? http://t.co/jkOTcrMb Stephen Elop accused of destroying Nokia so Microsoft can buy it cheap.,1
RT @jeffbullas: What Is A #Facebook “Like” Worth For Your Business? http://t.co/BsT25W2u #SMM #SocialMedia #Twitter,2
YA SE PRENDIO LA MECHA ENTRE MEXICO vs ECUADOR #TWITTER! EL PARTIDO TERMINO PRENDIDO Y AHORA POR #MichaelJacksonQuiñonez LO CREEN OFENSIVO!!,3
#Patent Wars: #Google vs. #Samsung vs. #Apple vs. #Motorola vs. #Microsoft vs. #Oracle - http://t.co/PjxURwrp,2
This twitter shit is funny and entertaining ... I haven't did shit all day but my fingers are hurting #twitter,2
@MSPartners can join: Small Business Specialist Community (SBCS) http://t.co/IlQPKEz0! #Microsoft #MPN,2
#uberSocial on #blackberry #crackberry is better than the actual #twitter site. It's wack on the iphone. #CoolStoryBro,0
Unmindful Ballmer collects half a billion doesn't say thank you. http://t.co/lwtpXejo #android #google #microsoft,1
RT @Pocketlint: Ballmer on Nokia: Really looking forward to bunch of new devices next week http://t.co/xjUwssZs #wp7 #nokia #Microsoft,0
I don't get it. Instead of @apple dropping the 16GB iPhone 4 down to $99 they release an 8GB one for $99???,1
#Samsung Galaxy Nexus is now confirmed http://t.co/v4LR34p3 #googlenews #mobile #android40icecreamsandwich #google,2
#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps,0
@brady I am surprised @apple did not think of/anticipate that......,1
Google Reveals the Details of Android OS 4.0 Samsung Galaxy Nexus http://t.co/KyxuNP8I #google #android #samsung,2
@jpobrien11 or windows bridge for windows phones and don't try and pretend apple didn't steal the notification bar from #google #droidtweets,1
9% now on my second full charge of the day. Pissed @Apple,1
A Dormir.! #Twitter OFF,2
#Microsoft Lync crash issue on #Mac OS x 10.7.2 [Fixed] - http://t.co/YZhCdgFP,0
“@Free_Nuttball #fuckyoumean #Pittsburgh don't got the best #twitter.”,1
Si eso pasa cierro mi cuenta de #twitter! D':,3
Pelado con la tecnologia iria a pegarle una piña a #BillGates. Odio a #Microsoft.,3
@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt,1
#Twitter'sMalfunctioningAgain,1
#Android #Google Android Beam makes NFC for more than paying for things http://t.co/dxrbxjkB #DhilipSiva,0
@JarjarTee @apple That's really good. Makes you happy to pay the infamous @apple tax :),0
ô negocio parado aqui tá o #msn e o #twitter,3
RT @packard_bell: #Microsoft presenta un teclado #touch sobre cualquier superficie http://t.co/mU1FdIhF,3
#Microsoft - Lanzara nueva tecnologia #Omnitouch que usa #Kinect: Si la tendencia son las pantallas touch o ""Mul... http://t.co/A4aSHlF6,3
RT @bytenow: The next pure #Google phone is the #Galaxy #Nexus by #Samsung. It's fast and has a nice screen - http://t.co/9RwvaUkq,0
I love the messages and emails on display at the ice cream sandwich event..""Peanuts are neither peas nor nuts. Discuss"" #samsung #google,0
Okay its officially a #sausagefest here @thursdays it really makes no sense based on the feedback from #google?? Moving on...,1
@mcp111 @apple @AppStore Why are you asking us? Apple don't read messages on Twitter... and Apple aren't @Apple either,1
Sleep. Finally. #Twitter,2
Quieres un buen antivirus para tu Compu? Aquí esta la solución: http://t.co/lNmMiWaZ Antivirus de #Microsoft,3
@hiarly iae meu brother .. min siga ae no #twitter .. ta lembrado de min né ?,3
@jonsibley Actually the @Apple mouse is pretty sweet man.,0
@stephaknee7 omfg so #excited you are on #twitter baby now i can send you love #tweets !!,0
[iPad] iPad 1. Generation generalüberholt ab 389 € @Apple http://t.co/tOv1xKQ8,3
