text,opinion
@apple can you get your iphone to stop vibrating when you get a text?,2
enjoy #Twitter Buzz Builds for the #Occupy_Wall_Street Movement [CHARTS] http://t.co/vKjwATSr great,2
#apple #facebook @facebook #microsoft hahahahaha http://t.co/XeNSzCjh,3
Samsung Galaxy Nexus officieel aangekondigd door #google en #samsung!,3
Why can't I check just Notes (without mail) on Lion for #iCloud like I do on the iOS devices @apple ?,2
@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx,0
Follow your interests #twitter,2
RT @nicolebanyots: #twitter UH SHOW ME MY RETWEETS OR ILL GO BACK TO FACEBOOK. K? K.,1
Echelon Quality Management System pdf ebook: http://t.co/OudMwlne #google,2
Steve Ballmer #Microsoft's chief executive believes that #Google's #Android mobile phones for being too complicated. What do you...,2
Salut les twittos! Un petit résumé de cet conf' ? :) #ICS #GOOGLE,2
Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.,2
@msantram I want @apple to integrate Siri with @Quora.,2
Big mo: In one week @Apple #iCloud hits 20M users; 25M use #iOS 5 http://t.co/HTpUTBFK via @cnet,2
Para todos los androides he aquí la nueva bestia de #Google! El #GalaxyNexus http://t.co/oUTER1n4,3
o @jcsantos22f1 sumiuuuuuuuuuuuuuuu D #TWITTER kkkkkk + apareceu n msn... saudadeeees,3
RT @DailyDealChat: @bidmyway I like your app for the @apple iPhone very simple and easy to use!,0
RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!,1
RT @NeowinFeed: Google shows off new Ice Cream Sandwich features #google #android http://t.co/LlJpGM2a #neowin,2
Cupom Google AdWords + Promo Starter Kit da LogosBr = Divulgação Eficaz e de Graça! Confira: http://t.co/kf9supYG #Google #AdWords #LogosBr,3
Hello #twitter!,2
Lol itss ben a #year since i had a #twitter but i jus start using it,2
Probably the best #IceCreamSandwich (yet)! #Samsung and #Google's event live blog by @engadget! Why haven't I switched to #Android again?,0
@ThatsRealTalkin I'm doing the Tallman #Twitter list for fun!! I just wanna see how many men 6'3 and up are on Twitter! It's just for fun :),0
Uff mucha expectación con el Plan Nacional :-): Qué prioridades tenemos como Pais? Plan Nacional: http://t.co/rumOPWl0 #microsoft,3
Will @Apple's Mac ever properly be used in the financial markets or is it purely a creatives device? Shift from IBM to Mac? #finpanther,2
OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS,1
This is what I have been waiting for RT @Apple The last big project Steve Jobs was working on was the new cranial insertion device: iMplant.,0
Un abrazo a tod@s desde el @Apple Store en #NewYork. Es un honor sumarse a la gente que honra la memora y el #genio de #SteveJobs.,3
New macbook is too sick @apple,0
no los menciono por que me calientan el #twitter,3
On Google+ then go here http://t.co/XP4apWAH #GPlus #Googleplus #Google #teamfollowback #socialnetwork,2
fuck u @apple,1
#Twitter'Offf :D,2
RT @WinBetaDotOrg: Microsoft giving away free Windows Phones with a $499 purchase http://t.co/K2qYY9ex #Microsoft #Windows_Phone,2
RT @MobileTechWorld: Jet Car Stunts Xbox Live game for Windows Phone released http://t.co/O3hYxBxh #wp7 #xbox #microsoft,2
#Techno : #Microsoft lanza sitio oficial de #Skype http://t.co/oQ2JbPS3,3
#twitter is like therapy for sum people say wat you feel & get alot off yo chest.. And don't care wat the next person say,0
My #iPhone4S battery is dying like crazy @Apple!!,1
New Galaxy Nexus: Video looks awesome! #nexus #samsung #google #android bit.ly/nEJbyE,2
Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!,0
- It's So Funny Because She Got A #Twitter Now Lol.,2
Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 9,2
Regístrate para asistir este 8 de noviembre al lanzamiento de #Microsoft Dynamics AX 2012 http://t.co/txHEoInE,3
saiiidoooo aqui do #twitter . só Msn agr add aii danilosooares@hotmail.com ;DD,3
@theresamarosy haha k thought everybody knew #Microsoft sucks.,1
Un vistazo a Windows Server 8 http://t.co/Q0D7dJdN #Microsoft,3
#android Google confirma que todos los dispositivos con gingerbread tendrán Ice Cream Sandwich: Y desde ... http://t.co/bUcSI4xy #google,3
RT @BrightSideNews: @Google and @Samsung Announce the #Galaxy #Nexus http://t.co/dZHvFxVh #Android #ICS #Icecreamsandwich #Google #Samsung,2
#Facebook y #Twitter me volverán loco! :$!,3
New #iOS5 notification center is a big improvement but @apple missed an easy trick by not making it fully available on lock screen.,0
#microsoft announces SP3 for #office2007 and #sharepoint2007.,2
Anschauen! Genial! http://t.co/YLVJAzxz #Google #Nexus #Vorstellung,3
#Android #Google Samsung Galaxy Nexus official hands-on [Video] http://t.co/6GX3R9MT #DhilipSiva,2
#Google releases 50 new features for presentations in #GoogleDocs http://t.co/0x6crRao,2
RT @packard_bell: #SteveBallmer CEO de #Microsoft dice que se necesita ser un cientifico para manejar #Android http://t.co/W03j7hTA,3
This #TT was well needed cuz I thought #Twitter was dien.,1
I've seen a couple of iPhone 4S's already but still no Windows Phone 7's ... ever! #Microsoft not so hot.,1
あぽたん誰にでも…(^ω^三^ω^) RT @yuntaro0304: [23:04:35] 橘 龍希＠apple: 可愛いよ(*･ω･*) あぽたんにくどかれてるなう,3
#Twitter Hoje ta #BONBANO só #ELITE poooha,3
#Facebook Y #Twitter Off xd,3
Reconnaissance faciale poir debloquer ton phone :-) #google #android,0
#Twitter is hella funny when got people on here you grew up with....lmao,0
alrite back to this lab report. Later #Twitter,2
caramba a galera da #google mandou muito bem no novo #android novidades na app da camera estão d+ #soudev \o/ quero o novo Google Nexus :D,3
Sneaky sneaky. Seven ways to spy on your competition using #Twitter - http://t.co/RxopvNGQ - via @ruhanirabin @AskAaronLee,2
