label;text
pos;will be at the London #Microsoft Partner Business Briefing tomorrow - see some of you there :)
pos;will be at the London #Microsoft Partner Business Briefing tomorrow - see some of you there :)
pos;will be at the London #Microsoft Partner Business Briefing tomorrow - see some of you there :)
pos;will be at the London #Microsoft Partner Business Briefing tomorrow - see some of you there :)
irr;Wow!RT @fmlopez48 #Microsoft trabaja en tecnología con la que cualquier superficie podrá ser usada como pantalla táctil http://t.co/1qbeGAI5
pos;Wow!RT @fmlopez48 #Microsoft trabaja en tecnología con la que cualquier superficie podrá ser usada como pantalla táctil http://t.co/1qbeGAI5
pos;Wow!RT @fmlopez48 #Microsoft trabaja en tecnología con la que cualquier superficie podrá ser usada como pantalla táctil http://t.co/1qbeGAI5
irr;Wow!RT @fmlopez48 #Microsoft trabaja en tecnología con la que cualquier superficie podrá ser usada como pantalla táctil http://t.co/1qbeGAI5
irr;Etre influent sur #Twitter: publication de contenus qui engagent à l'action. http://t.co/H2qmDwpP EN via @jeffbullas
neu;Etre influent sur #Twitter: publication de contenus qui engagent à l'action. http://t.co/H2qmDwpP EN via @jeffbullas
neu;Etre influent sur #Twitter: publication de contenus qui engagent à l'action. http://t.co/H2qmDwpP EN via @jeffbullas
neu;Etre influent sur #Twitter: publication de contenus qui engagent à l'action. http://t.co/H2qmDwpP EN via @jeffbullas
neu;Great Mission :: Ice Cream Sandwich #Google mission was to build a mobile OS that works on both phones and tablets
pos;Great Mission :: Ice Cream Sandwich #Google mission was to build a mobile OS that works on both phones and tablets
irr;Great Mission :: Ice Cream Sandwich #Google mission was to build a mobile OS that works on both phones and tablets
neu;Great Mission :: Ice Cream Sandwich #Google mission was to build a mobile OS that works on both phones and tablets
neg;Had issues with #Siri reaching network today. Too many uses or my signal? @apple
neg;Had issues with #Siri reaching network today. Too many uses or my signal? @apple
neg;Had issues with #Siri reaching network today. Too many uses or my signal? @apple
neg;Had issues with #Siri reaching network today. Too many uses or my signal? @apple
irr;as indiretaa ta solta hoje nesse #twitter UAHSUAHSUASA' E SO PRA ELA S2
irr;as indiretaa ta solta hoje nesse #twitter UAHSUAHSUASA' E SO PRA ELA S2
irr;as indiretaa ta solta hoje nesse #twitter UAHSUAHSUASA' E SO PRA ELA S2
irr;as indiretaa ta solta hoje nesse #twitter UAHSUAHSUASA' E SO PRA ELA S2
neg;Bummer! My @Yahoo! iPad fantasy football app keeps crashing not sure if it's the app or the new @apple iOS 5. Only two apps running.
neg;Bummer! My @Yahoo! iPad fantasy football app keeps crashing not sure if it's the app or the new @apple iOS 5. Only two apps running.
neg;Bummer! My @Yahoo! iPad fantasy football app keeps crashing not sure if it's the app or the new @apple iOS 5. Only two apps running.
neg;Bummer! My @Yahoo! iPad fantasy football app keeps crashing not sure if it's the app or the new @apple iOS 5. Only two apps running.
neg;@siobhancoda is your anti virus isn't just a 90 day trial could leave you exposed in the near future #free #microsoft #antivirus #software
neu;@siobhancoda is your anti virus isn't just a 90 day trial could leave you eposed in the near future #free #microsoft #antivirus #software
irr;@siobhancoda is your anti virus isn't just a 90 day trial could leave you exposed in the near future #free #microsoft #antivirus #software
neu;@siobhancoda is your anti virus isn't just a 90 day trial could leave you exposed in the near future #free #microsoft #antivirus #software
neg;RT @EA_Jorge: I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsof ...
neg;RT @EA_Jorge: I'm on day 80-something of my bo LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsof ...
neg;RT @EA_Jorge: I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsof ...
neg;RT @EA_Jorge: I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsof ...
pos;- #twitter please forgive my last slew of tweets I'm having a rough night  but I pray you'll forgive me .#tosleepigo
neu;- #twitter please forgive my last slew of tweets I'm having a rough night  but I pray you'll forgive me .#tosleepigo
irr;- #twitter please forgive my last slew of tweets I'm having a rough night  but I pray you'll forgive me .#tosleepigo
irr;- #twitter please forgive my last slew of tweets I'm having a rough night  but I pray you'll forgive me .#tosleepigo
pos;@Paatty_cl #EsNaco Componerle una cacion a Mf y presumir de ella en #Twitter
irr;@Paatty_cl #EsNaco Componerle una cacion a Mf y presumir de ella en #Twitter
irr;@Paatty_cl #EsNaco Componerle una cacion a Mf y presumir de ella en #Twitter
irr;@Paatty_cl #EsNaco Componerle una cacion a Mf y presumir de ella en #Twitter
neg;My mentions aren't showing properly ... PAY ATTENTION #TWITTER
neg;My mentions aren't showing properly ... PAY ATTENTION #TWITTER
neg;My mentions aren't showing properly ... PAY ATTENTION #TWITTER
neg;My mentions aren't showing properly ... PAY ATTENTION #TWITTER
irr;Wenn #Microsoft eine touchfähige #Office Suite für iOS rausbringen würde wäre ich sehr entzückt!
pos;Wenn #Microsoft eine touchfähige #Office Suite für iOS rausbringen würde wäre ich sehr entzückt!
pos;Wenn #Microsoft eine touchfähige #Office Suite für iOS rausbringen würde wäre ich sehr entzückt!
irr;Wenn #Microsoft eine touchfähige #Office Suite für iOS rausbringen würde wäre ich sehr entzückt!
neu;@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
pos;@alelindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
pos;@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
pos;@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.
neu;#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google
neu;#Samsung Galay #Neus hands-on (#video) http://t.co/w4muSKEm #android #galayneus #galayneus #google
pos;#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google
neu;#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google
pos;Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local
pos;Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local
pos;Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local
pos;Awesome! @TommyLee is moving to #Vancouver as Dev Evangelist for #Microsoft - we finally get a local
pos;Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 19
neu;Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 19
irr;Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 19
neu;Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 19
neu;its ok to put up bible verses & encouraging post about God on #Twitter but make sure you stand by your words cause your an example.
neu;its ok to put up bible verses & encouraging post about God on #Twitter but make sure you stand by your words cause your an eample.
irr;its ok to put up bible verses & encouraging post about God on #Twitter but make sure you stand by your words cause your an example.
neu;its ok to put up bible verses & encouraging post about God on #Twitter but make sure you stand by your words cause your an example.
irr;Wow jus made a #TWITTER i reallly dnt kno how o2 use it so i neea alittle help
pos;Wow jus made a #TWITTER i reallly dnt kno how o2 use it so i neea alittle help
irr;Wow jus made a #TWITTER i reallly dnt kno how o2 use it so i neea alittle help
irr;Wow jus made a #TWITTER i reallly dnt kno how o2 use it so i neea alittle help
irr;Puta pero da Wueba dormirse....Bueno mejor sigo en #Twitter..jejeje :)
neg;Puta pero da Wueba dormirse....Bueno mejor sigo en #Twitter..jejeje :)
irr;Puta pero da Wueba dormirse....Bueno mejor sigo en #Twitter..jejeje :)
irr;Puta pero da Wueba dormirse....Bueno mejor sigo en #Twitter..jejeje :)
irr;Ho come l'impressione che la recente evoluzione di #facebook abbia creato un ulteriore solco con #google+ ...la vittoria finale??
pos;Ho come l'impressione che la recente evoluzione di #facebook abbia creato un ulteriore solco con #google+ ...la vittoria finale??
irr;Ho come l'impressione che la recente evoluzione di #facebook abbia creato un ulteriore solco con #google+ ...la vittoria finale??
